captured_at,capture_season,capture_week,source,season,conference,team,offense_overall,offense_passing,offense_rushing,offense_firstDown,offense_secondDown,offense_thirdDown,offense_cumulative,defense_overall,defense_passing,defense_rushing,defense_firstDown,defense_secondDown,defense_thirdDown,defense_cumulative
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mountain West,Air Force,0.29,0.36,0.3,0.27,-0.08,0.53,"{'total': 35.8, 'passing': 8, 'rushing': 29.7}",-0.05,0,-0.01,-0.17,-0.06,-0.21,"{'total': -5.1, 'passing': 0.4, 'rushing': -0.6}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mid-American,Akron,0.01,0.06,0,-0.15,0.22,0.21,"{'total': 0.8, 'passing': 5.11, 'rushing': 0.1}",0.17,0.48,-0.17,-0.09,0.03,0.69,"{'total': 24.6, 'passing': 414.9, 'rushing': -9.5}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,Alabama,0.33,0.35,0.34,0.24,0.12,0.7,"{'total': 60.1, 'passing': 28.68, 'rushing': 33.9}",-0.1,0.02,-0.21,-0.19,0.05,0.23,"{'total': -15.2, 'passing': 16.3, 'rushing': -14.4}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Sun Belt,App State,0.21,0.55,-0.06,-0.07,0.5,0.4,"{'total': 40.3, 'passing': 50.93, 'rushing': -5.4}",0.01,0.01,0.07,0.06,0.08,-0.03,"{'total': 2, 'passing': 10, 'rushing': 4.4}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big 12,Arizona,0.29,0.37,0.2,0,0.39,0.87,"{'total': 47.4, 'passing': 34.77, 'rushing': 12.8}",0.06,0.12,0.12,-0.07,0.14,0.67,"{'total': 9.5, 'passing': 114.1, 'rushing': 7.2}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big 12,Arizona State,0.04,0.22,-0.04,-0.13,0.28,0.39,"{'total': 6.5, 'passing': 17.74, 'rushing': -3.6}",0.03,0.11,-0.04,0.12,-0.03,0.49,"{'total': 5.4, 'passing': 87, 'rushing': -3.1}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,Arkansas,0.02,0.14,-0.11,-0.15,-0.04,0.63,"{'total': 3.8, 'passing': 12.77, 'rushing': -8.2}",0.27,0.24,0.33,0.03,0.53,0.4,"{'total': 35.3, 'passing': 135.9, 'rushing': 23.7}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Sun Belt,Arkansas State,0.04,0,0.18,0.08,-0.01,0.4,"{'total': 6.1, 'passing': -0.25, 'rushing': 13.9}",0.21,0.61,0.01,0.14,-0.12,0.79,"{'total': 36.7, 'passing': 448.7, 'rushing': 0.5}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,American Athletic,Army,0.39,0.4,0.41,0.11,0.41,0.78,"{'total': 41.1, 'passing': 8.03, 'rushing': 34}",0.17,0.21,0.16,0.16,-0.04,0.42,"{'total': 15.2, 'passing': 90.9, 'rushing': 6.8}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,Auburn,0.14,0.17,0.2,-0.1,0.05,0.6,"{'total': 29.9, 'passing': 18.04, 'rushing': 19.9}",0.06,0.25,-0.05,-0.15,0.04,0.27,"{'total': 13.8, 'passing': 268.4, 'rushing': -5.7}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mid-American,Ball State,0.07,0.09,0.21,-0.12,0.23,0.02,"{'total': 11, 'passing': 6.89, 'rushing': 13.7}",0.33,0.37,0.32,0.22,0.23,0.7,"{'total': 51.8, 'passing': 299.5, 'rushing': 22.6}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big 12,Baylor,0.13,0.25,0.04,-0.02,0.21,0.36,"{'total': 28.3, 'passing': 26.56, 'rushing': 3.9}",-0.07,0.01,-0.17,-0.19,-0.26,0.64,"{'total': -13.6, 'passing': 7, 'rushing': -14.1}"
