captured_at,capture_season,capture_week,source,year,team,conference,rating,ranking,secondOrderWins,sos,offense_ranking,offense_rating,offense_success,offense_explosiveness,offense_rushing,offense_passing,offense_standardDowns,offense_passingDowns,offense_runRate,offense_pace,defense_ranking,defense_rating,defense_success,defense_explosiveness,defense_rushing,defense_passing,defense_standardDowns,defense_passingDowns,defense_havoc,specialTeams_rating
2026-08-21T18:47:07+00:00,2026,1,sp_plus,2026,Ohio State,Big Ten,32.7,1,,,2,41,,,,,,,,,1,8.4,,,,,,,"{'total': None, 'frontSeven': None, 'db': None}",0.1
2026-08-21T18:47:07+00:00,2026,1,sp_plus,2026,Oregon,Big Ten,29.2,2,,,1,41.1,,,,,,,,,2,12.2,,,,,,,"{'total': None, 'frontSeven': None, 'db': None}",0.3
2026-08-21T18:47:07+00:00,2026,1,sp_plus,2026,Notre Dame,FBS Independents,26.5,3,,,3,40.6,,,,,,,,,9,14.3,,,,,,,"{'total': None, 'frontSeven': None, 'db': None}",0.3
2026-08-21T18:47:07+00:00,2026,1,sp_plus,2026,Georgia,SEC,26.4,4,,,5,38.7,,,,,,,,,5,12.9,,,,,,,"{'total': None, 'frontSeven': None, 'db': None}",0.6
2026-08-21T18:47:07+00:00,2026,1,sp_plus,2026,Indiana,Big Ten,25.8,5,,,7,37.8,,,,,,,,,4,12.5,,,,,,,"{'total': None, 'frontSeven': None, 'db': None}",0.5
2026-08-21T18:47:07+00:00,2026,1,sp_plus,2026,Texas,SEC,22.8,6,,,9,37.3,,,,,,,,,10,14.9,,,,,,,"{'total': None, 'frontSeven': None, 'db': None}",0.4
2026-08-21T18:47:07+00:00,2026,1,sp_plus,2026,Miami,ACC,22,7,,,12,35,,,,,,,,,7,13.3,,,,,,,"{'total': None, 'frontSeven': None, 'db': None}",0.3
2026-08-21T18:47:07+00:00,2026,1,sp_plus,2026,Texas Tech,Big 12,21.8,8,,,10,36.6,,,,,,,,,11,15,,,,,,,"{'total': None, 'frontSeven': None, 'db': None}",0.2
2026-08-21T18:47:07+00:00,2026,1,sp_plus,2026,Texas A&M,SEC,20.9,9,,,8,37.6,,,,,,,,,14,16.4,,,,,,,"{'total': None, 'frontSeven': None, 'db': None}",-0.3
2026-08-21T18:47:07+00:00,2026,1,sp_plus,2026,LSU,SEC,20.4,10,,,21,32.6,,,,,,,,,3,12.4,,,,,,,"{'total': None, 'frontSeven': None, 'db': None}",0.2
